district,Block Name,Total Br(s),Sep-I No.,Amt.,Sep-G No.,No. of Beneficiary,SHG No.,Women SHG No.,Total CY NULM Disb. No.
Aizawl,Tlangnuam,92,48,126.51,1,87,44,34,93
Champhai,Khawbung,3,0,0.00,0,0,0,0,0
Hnahthial,Hnahthial,5,0,6.02,2,0,0,0,2
Khawzawl,Khawzawl,7,6,19.70,0,15,5,5,11
Kolasib,N. Thingdawl,7,14,26.30,0,4,0,1,14
Lawngtlai,Sangau,2,0,0.00,0,0,0,0,0
Lunglei,W. Bunghmun,2,0,0.00,0,0,0,0,0
Mamit,Zawlnuam,8,0,3.09,0,4,7,3,7
Saiha,Tuipang,1,0,0.00,0,0,0,0,0
Saitual,Phullen,6,4,8.02,0,0,0,0,4
Serchhip,Serchhip,13,15,32.66,0,16,25,15,40
