District,Total Br,Crop,Term Loan,Agri,Ancillar,Agri Total NPA
Aizawl,105,5534,948,2,16,6500
Champhai,18,171,259,0,0,430
Hnahthial,5,33,63,0,0,96
Khawzawl,7,76,162,0,0,238
Kolasib,20,214,644,6,1,865
Lawngtlai,12,514,624,0,2,1140
Lunglei,21,71,235,0,0,306
Mamit,13,90,336,0,0,426
Saiha,7,491,926,0,0,1417
Saitual,10,329,112,0,0,441
Serchhip,16,47,281,0,0,328
