district,Block Name,Total Br(s),Sanctioned No.,Amt.,Disbursement No.,Amt.,Outstanding No.,Amt.
Aizawl,Tlangnuam,92,25,637.23,54,637.23,192,637.23
Champhai,Khawbung,3,0,0.00,0,0.00,0,0.00
Hnahthial,Hnahthial,5,0,0.00,0,0.00,0,0.00
Khawzawl,Khawzawl,7,4,24.06,4,24.06,3,24.06
Kolasib,N. Thingdawl,7,0,0.00,0,0.00,0,0.00
Lawngtlai,Sangau,2,0,0.00,0,0.00,0,0.00
Lunglei,W. Bunghmun,2,0,0.00,0,0.00,0,0.00
Mamit,Zawlnuam,8,0,0.00,0,0.00,0,0.00
Saiha,Tuipang,1,1,4.18,1,4.18,1,4.18
Saitual,Phullen,6,0,0.84,0,0.84,1,0.84
Serchhip,Serchhip,13,0,18.64,0,18.64,6,18.64
