district,4,37 - 38
ACP Disbursement (Other Priority Sector) - Bank-wise & Block-/District-wise,5,32 - 33
ACP NPA Outstanding (Agri) - Bank-wise & District-wise,6,22
ACP NPA Outstanding (MSME) - Bank-wise & District-wise,7,23
ACP NPA Outstanding (Non-Priority Sector) - Bank-wise & District-wise,8,36
ACP NPA Outstanding (Other Priority Sector) - Bank-wise & District-wise,9,24
ACP Outstanding & NPA Summary (Non-Priority) - Bank-wise & District-wise,10,34 - 35
ACP Outstanding & NPA Summary (Priority) - Bank-wise & District-wise,11,17 - 18
ACP Outstanding (Agriculture) - Bank-wise & District-wise,12,19
ACP Outstanding (MSME) - Bank-wise & District-wise,13,20
ACP Outstanding (Other Priority Sector) - Bank-wise & District-wise,14,21
ACP Performance vis-à-vis Target - Bank-Wise & District-Wise,15,25 - 27
Agenda for SLBC Meeting FY 2021-2022 Qtr. 1,16,1 - 12
Business and Credit Deposit Ratio - Bank-wise & District-wise,18,14 - 15
Digital Transaction report - Bank-wise & District-wise,19,84 - 85
Education Loan - Bank-wise & Block-Wise/District-wise,20,65 - 66
FI & KCC Report - Bank-wise & District-wise,21,45 - 46
Finance to Women - Bank-wise & Block-Wise/District-wise,22,72 - 73
"Financing under Overall, Rural & PMAY Housing - BankWise & District-Wise",23,67
Govt. Sponsored Schemes NPA Report - Bankwise & Block-Wise/District-wise,24,63 - 64
Investment Cr. under Agri. (Disbursement) - Bankwise & Block-/District-wise,25,41 - 42
Investment Cr. under Agri. (Outstanding) - Bankwise & Block-/District-wise,26,39 - 40
Joint Liability Group (JLG) - Bank-wise & Block-Wise/District-wise,27,49 - 50
Kisan Credit Card (KCC) - Bank-wise & Block-Wise/District-wise,28,43 - 44
Loan to Minorities (Disbursement) - Bank-wise & Block-Wise/District-wise,29,76 - 77
Loan to Minorities (Outstanding) - Bank-wise & Block-Wise/District-wise,30,74 - 75
Loan to SC/ST (Outstanding) - Bank-wise & Block-Wise/District-wise,31,70 - 71
Loan to Weaker Section (Priority Sector) - Bank-wise & District-wise,32,68 - 69
Mudra loan (PMMY) Disbursement - Bank-wise & Block-Wise/District-wise,34,57 - 58
NRLM Disbursement - Bank-Wise & Block-Wise/District-wise,36,51 - 52
NULM Disbursement - Bank-Wise & Block-Wise/District-wise,37,53 - 54
PMEGP Report - Bank-Wise & District-wise,38,61 - 62
PMJDY report - Bank-wise & Block-Wise/District-wise,39,78 - 79
Provision of banking services through banking outlets,40,86
RSETI,42,9
Roadmap for providing banking services - villages with population < 2000,41,87
Self-Help Group (SHG) - Bank-wise & Block-Wise/District-wise,44,47 - 48
Social Security Scheme Report - Bank-wise & Block-Wise/District-wise,45,80 - 81
Stand-up India (SUI) Disbursement - Bank-wise & Block-Wise/District-wise,46,59 - 60
