district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Other s,Total
Aizawl,18,0,124,51,6,0,124,51,48,3,51
Champhai,5,10,0,36,0,10,0,36,32,4,36
Hnahthial,3,1,0,4,0,1,0,4,3,1,4
Khawzawl,4,2,0,20,1,2,0,20,20,0,20
Kolasib,7,8,0,33,2,8,0,33,32,1,33
Lawngtlai,5,4,0,76,1,4,0,76,52,24,76
Lunglei,6,15,0,20,1,15,0,20,18,2,20
Mamit,11,4,0,36,2,4,0,36,36,0,36
Saiha,1,5,0,24,0,5,0,24,23,1,24
Saitual,6,2,0,11,1,2,0,11,9,2,11
Serchhip,9,4,0,24,1,4,0,24,23,1,24
