district,Total Br(s),Housing Loan O/S,Rural Housing Loan O/S,Housing Loan Eligibleunder PMAY O/S,Current Year Disbursedunder PMAY,PMAY O/S
Aizawl,105,13194,707,732,109,741
Champhai,18,13664,65,157,16,159
Hnahthial,5,2550,45,39,8,39
Khawzawl,7,2639,48,67,16,67
Kolasib,20,13800,104,187,31,187
Lawngtlai,12,6906,455,126,28,126
Lunglei,21,6800,328,352,62,352
Mamit,13,2865,176,107,12,107
Saiha,7,4010,190,107,39,107
Saitual,10,2595,36,34,13,34
Serchhip,16,7307,110,292,76,292
