District,Total Branch,Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renewable No.,Others No.,Total Other PS O/S No.
Aizawl,105,0,57596.20,213,6231,0,0,6363,12807
Champhai,18,0,4746.62,8,654,0,0,205,867
Hnahthial,5,0,1242.43,0,149,0,0,0,149
Khawzawl,7,0,2119.28,3,246,0,0,0,249
Kolasib,20,0,6995.26,9,795,0,0,195,999
Lawngtlai,12,0,15483.12,14,2144,0,0,1,2159
Lunglei,21,0,16335.35,14,2120,0,0,254,2388
Mamit,13,0,3661.46,0,461,0,0,1,462
Saiha,7,0,11933.59,6,1618,0,0,0,1624
Saitual,10,0,1304.66,1,201,0,0,0,202
Serchhip,16,0,6448.72,6,791,0,0,1,798
