district,Block Name,Total Br(s),Rural No,Urban No,Male No,Female No,Total PMJDY No.,Noof Zero Balance A/c,Amt Depositsheldinthe A/c,Noof Rupay Card Issued,Noof Rupay Card Activated,Noof Aadhaar Seeded
Aizawl,Tlangnuam,92,3707,51880,25649,29270,54919,6021,4197.96,40341,16099,33322
Champhai,Khawbung,3,6237,0,2751,3486,6237,295,291.11,1286,913,4150
Hnahthial,Hnahthial,5,8110,0,4760,3350,8110,226,418.09,3878,2907,5007
Khawzawl,Khawzawl,7,6552,7525,5628,8449,14077,1493,754.01,3963,2650,8804
Kolasib,N. Thingdawl,7,5634,3119,3700,5053,8753,641,459.40,5014,1745,5311
Lawngtlai,Sangau,2,7724,0,3646,4078,7724,887,244.18,2204,1582,4320
Lunglei,W. Bunghmun,2,932,0,430,502,932,156,102.36,276,155,741
Mamit,Zawlnuam,8,10978,0,4712,6266,10978,932,369.69,3405,2509,6212
Saiha,Tuipang,1,8012,0,3671,4341,8012,1255,386.68,1501,933,2498
Saitual,Phullen,6,5673,5479,4597,6555,11152,1169,540.74,2283,1598,7035
Serchhip,Serchhip,13,4562,6939,4878,6621,11499,591,855.52,4290,2575,8215
