District,Total Br,Micro,Small,Medium,Other Msme,Msme Total O/S
Aizawl,105,14883,1449,37,132,16501
Champhai,18,1874,68,1,5,1948
Hnahthial,5,236,7,0,4,247
Khawzawl,7,634,19,0,10,663
Kolasib,20,3176,40,0,16,3232
Lawngtlai,12,1625,37,0,10,1672
Lunglei,21,3454,145,0,9,3608
Mamit,13,1558,21,0,14,1593
Saiha,7,1151,19,0,0,1170
Saitual,10,844,1,0,6,851
Serchhip,16,1832,35,0,10,1877
