district,Block Name,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,Tlangnuam,92,62902,115312,6568,184782
Champhai,Khawbung,3,2567,3345,215,6127
Hnahthial,Hnahthial,5,3599,5635,201,9435
Khawzawl,Khawzawl,7,5316,7714,311,13341
Kolasib,N. Thingdawl,7,5733,8182,823,14738
Lawngtlai,Sangau,2,1444,1729,113,3286
Lunglei,W. Bunghmun,2,803,1136,82,2021
Mamit,Zawlnuam,8,6158,11549,246,17953
Saiha,Tuipang,1,1398,1854,214,3466
Saitual,Phullen,6,3018,3697,203,6918
Serchhip,Serchhip,13,8312,13410,660,22382
