District,Block Name,Total Branch,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,Fisheries No.,Godown No.,Clinic No.,Other NPS No.,Total IC-Agri O/S No.
Aizawl,Tlangnuam,92,2200,12137.83,0,336,47,519,2,6,1,3440,6551
Champhai,Khawbung,3,238,1707.82,0,3,8,14,4,0,0,859,1126
Hnahthial,Hnahthial,5,615,1200.42,0,100,2,13,1,0,0,289,1020
Khawzawl,Khawzawl,7,759,2468.42,0,135,24,54,4,0,0,1228,2204
Kolasib,N. Thingdawl,7,626,2878.73,0,154,10,453,0,0,0,1006,2249
Lawngtlai,Sangau,2,163,804.33,0,4,0,106,0,0,0,377,650
Lunglei,W. Bunghmun,2,185,389.19,0,5,3,131,0,0,0,60,384
Mamit,Zawlnuam,8,417,1356.80,0,15,89,84,2,0,0,738,1345
Saiha,Tuipang,1,58,621.45,0,67,0,75,0,0,0,410,610
Saitual,Phullen,6,614,1797.95,0,23,22,250,5,0,0,753,1667
Serchhip,Serchhip,13,784,3891.39,0,234,20,142,6,0,0,1166,2352
