District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2,0,0,2,2,0,0,2,11,0,11
Changlang,11,3,0,14,14,3,0,17,52,12,64
Dibang Valley,1,1,0,2,1,0,0,1,1,0,1
East Kameng,2,8,0,10,0,12,0,12,14,11,25
East Siang,7,12,0,19,4,16,0,20,71,36,107
Kamle,1,0,0,1,0,0,0,0,2,0,2
Kra Daadi,2,0,0,2,3,0,0,3,5,1,6
Kurung Kumey,1,3,0,4,2,1,0,3,2,2,4
Lepa Rada,3,2,0,5,1,1,0,2,9,1,10
Lohit,5,6,0,11,2,13,0,15,29,1,30
Longding,3,0,0,3,4,0,0,4,9,1,10
Lower Dibang Valley,2,9,0,11,0,12,0,12,59,12,72
Lower Siang,4,0,0,4,3,0,0,3,24,14,38
Lower Subansiri,5,11,0,16,5,14,0,19,27,10,38
Namsai,4,9,0,13,4,6,0,10,51,24,75
Pakke Kessang,1,0,0,1,3,0,0,3,1,0,1
Papum Pare,21,59,0,80,16,121,0,137,134,603,737
Shi Yomi,2,1,0,3,1,1,0,2,4,1,5
Siang,5,0,0,5,1,0,0,1,8,0,8
Tawang,4,8,0,12,4,13,0,17,13,6,19
Tirap,3,2,0,5,4,1,0,5,20,10,30
Upper Siang,4,3,0,7,3,1,0,4,8,1,9
Upper Subansiri,6,2,0,8,3,7,0,10,22,2,24
West Kameng,18,1,0,19,29,1,0,30,30,7,37
West Siang,3,8,0,11,2,15,0,17,20,23,43
