District,Inactive BC,Ru Pay card active in PMJDY,First time active Ru Pay card,Aadhaar Authenticated Sb accounts,Ru Pay card issued in KCC
Anjaw,0,566,566,8271,5
Changlang,0,7432,7174,72326,35
Dibang Valley,0,77,76,5836,31
East Kameng,0,3346,2206,59193,33
East Siang,18,9328,6092,51798,108
Kamle,0,77,77,5518,3
Kra Daadi,0,591,591,6067,28
Kurung Kumey,0,946,662,24394,55
Lepa Rada,0,987,848,14782,47
Lohit,0,3928,3543,33962,250
Longding,0,3520,3520,21361,21
Lower Dibang Valley,26,2658,2452,33388,197
Lower Siang,16,5226,5226,8562,10
Lower Subansiri,6,3178,2608,39205,262
Namsai,1,8172,3020,41001,226
Pakke Kessang,0,52,52,3134,5
Papum Pare,155,16879,9204,183228,905
Shi Yomi,0,446,411,7034,0
Siang,0,1052,1052,5572,1
Tawang,1,2149,778,34003,25
Tirap,0,4039,3463,38205,18
Upper Siang,0,334,278,24534,61
Upper Subansiri,0,4259,2500,45986,88
West Kameng,4,3346,2464,50376,156
West Siang,3,2881,2057,34398,47
