district,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,235,0,235,0,0,0,0
Changlang,1396,17,1400,44,52,0,0
Dibang Valley,30,0,30,0,0,0,0
East Kameng,193,7,193,9,12,0,0
East Siang,30,29,32,70,105,0,0
Kamle,95,0,95,0,0,0,0
Kra Daadi,231,12,231,19,23,0,0
Kurung Kumey,128,10,128,12,17,0,0
Lepa Rada,100,4,100,26,41,0,0
Lohit,176,21,178,33,181,0,0
Longding,761,1,761,1,2,0,0
Lower Dibang Valley,19,32,39,46,54,0,0
Lower Siang,12,18,12,25,46,1,0.61
Lower Subansiri,57,36,57,60,177,4,2.12
Namsai,68,60,157,99,178,3,4.77
Pakke Kessang,112,1,112,3,3,0,0
Papum Pare,421,28,428,57,239,69,23.57
Shi Yomi,3,0,3,0,0,0,0
Siang,115,1,115,15,30,0,0
Tawang,268,0,270,5,7,0,0
Tirap,814,6,814,8,8,0,0
Upper Siang,48,5,48,11,15,0,0
Upper Subansiri,256,18,256,54,133,2,1.14
West Kameng,472,22,472,66,91,1,5.1
West Siang,10,24,10,46,55,0,0
