district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,5,10.51,18,60.62,464,1286.11,1200,3562.86
Changlang,48,301.96,216,907.14,1357,6146.24,4082,16079.01
Dibang Valley,4,26.76,11,95.98,219,949.38,738,3114.2
East Kameng,10,57.97,29,137.73,541,2368.01,2821,10719.63
East Siang,39,247.18,175,897.27,1980,14393.79,9126,52785.58
Kamle,3,5.19,10,35.27,279,724.55,759,1895.98
Kra Daadi,7,25.64,16,56.49,333,1175.63,1184,3771.4
Kurung Kumey,2,0.13,13,71.86,70,591.17,246,1409.49
Lepa Rada,4,21.03,14,74.07,689,3262.18,2399,10495.85
Lohit,22,141.56,84,404.51,1273,4954.56,4711,17248.83
Longding,5,16.07,28,121.82,277,627.52,521,1880.52
Lower Dibang Valley,54,225.91,157,511.65,666,3957.14,2490,11374.06
Lower Siang,5,19.58,52,280.92,550,3081.25,2054,10779.21
Lower Subansiri,18,91.94,106,397.82,937,7086.69,4693,26328.8
Namsai,33,145.11,172,599.64,1075,4711.96,4108,19144.99
Pakke Kessang,8,31.76,32,116.17,231,597.61,803,2095.89
Papum Pare,122,1004.37,721,4636.84,5748,88372.31,31016,272483.23
Shi Yomi,0,0,4,12.6,36,312.92,146,901.37
Siang,2,13.06,7,28.58,338,1432.7,1179,4441.13
Tawang,17,150.11,57,302.02,961,6297.11,2898,14913.22
Tirap,22,109.43,54,234.69,1467,3581.28,3509,9953.81
Upper Siang,7,99.69,32,184.65,544,2619.06,1752,6840.06
Upper Subansiri,26,166.75,61,371.08,1660,7400.04,4969,27199.46
West Kameng,31,314.62,123,697.05,1716,13941.73,5649,35179.09
West Siang,23,214.22,66,457.75,1587,11025.5,6614,34977.14
