District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,611,42,0,4,657
Changlang,1471,914,0,4,2389
Dibang Valley,354,46,0,0,400
East Kameng,692,2389,0,1,3082
East Siang,963,1467,2,19,2451
Kamle,539,50,0,0,589
Kra Daadi,886,273,0,2,1161
Kurung Kumey,554,567,0,2,1123
Lepa Rada,484,836,0,0,1320
Lohit,2003,922,0,109,3034
Longding,2348,95,0,2,2445
Lower Dibang Valley,781,1034,0,1,1816
Lower Siang,554,287,0,1,842
Lower Subansiri,1343,2293,0,14,3650
Namsai,2026,1411,3,28,3468
Pakke Kessang,568,22,0,2,592
Papum Pare,5442,3368,3,129,8942
Shi Yomi,1,344,0,0,345
Siang,225,272,0,0,497
Tawang,813,237,0,1,1051
Tirap,1989,1529,0,0,3518
Upper Siang,271,545,0,0,816
Upper Subansiri,1260,1322,0,7,2589
West Kameng,1656,1063,0,22,2741
West Siang,996,846,3,7,1852
