District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1426,0,638,788,1426,49,144.25,1185,239,818
Changlang,46656,689,21285,26056,47341,2610,1887.55,41007,6037,16588
Dibang Valley,415,31,250,196,446,23,180.57,310,8,280
East Kameng,4705,9551,6372,7882,14254,1042,869.22,9883,2804,8019
East Siang,42403,25855,32175,36782,68957,10536,3106.46,46971,7786,29691
Kamle,1330,0,508,822,1330,14,126.89,1154,31,919
Kra Daadi,2828,0,1067,1759,2826,33,206.73,3093,246,1476
Kurung Kumey,2824,806,1670,1959,3629,556,399.06,3052,682,1554
Lepa Rada,2723,433,1535,1620,3155,290,241.03,1894,792,1215
Lohit,5619,6519,5476,6661,12137,1085,635.99,9146,2836,6618
Longding,10219,0,3392,6826,10218,205,504.52,8467,1993,6758
Lower Dibang Valley,4298,9931,6772,7457,14229,1169,726.22,11943,2096,7946
Lower Siang,39024,0,19271,19751,39022,9792,913.65,14874,4632,14205
Lower Subansiri,6235,5201,5078,6350,11428,508,1193.7,8902,2319,5045
Namsai,14761,19938,14991,19705,34696,2769,1636.98,28266,7701,24673
Pakke Kessang,495,0,256,239,495,6,19.25,246,3,326
Papum Pare,29800,24957,28141,33306,61447,5351,3651.61,45707,15461,33732
Shi Yomi,1477,0,688,789,1477,119,469.75,1701,341,562
Siang,4868,0,2596,2270,4866,119,563.28,2620,938,2307
Tawang,4134,1288,2968,2453,5421,503,814.07,4112,1640,3205
Tirap,14685,0,6028,8651,14679,544,1189.23,13669,3062,8763
Upper Siang,4334,238,2131,2441,4572,229,552.88,1419,191,3171
Upper Subansiri,5924,13340,8901,10353,19254,2030,1731.78,14629,3439,10487
West Kameng,15130,47,7008,8168,15176,841,1363.08,11415,2244,8068
West Siang,4550,9690,8204,8152,16356,1221,1501.88,8891,1748,8126
