District,Micro,Small,Medium,Other Msme,Msme Total
Anjaw,56,26,0,0,82
Changlang,606,113,0,0,719
Dibang Valley,29,8,0,0,37
East Kameng,251,29,0,18,298
East Siang,1185,66,0,75,1326
Kamle,89,0,0,0,89
Kra Daadi,388,0,0,0,388
Kurung Kumey,201,0,0,4,205
Lepa Rada,162,1,0,0,163
Lohit,513,24,6,5,548
Longding,275,21,1,0,297
Lower Dibang Valley,507,7,0,3,517
Lower Siang,203,5,0,1,209
Lower Subansiri,790,18,1,9,818
Namsai,520,65,3,2,590
Pakke Kessang,88,0,0,0,88
Papum Pare,6299,720,59,514,7592
Shi Yomi,24,0,0,0,24
Siang,72,0,0,0,72
Tawang,562,18,0,1,581
Tirap,349,6,0,0,355
Upper Siang,70,0,0,3,73
Upper Subansiri,467,4,0,16,487
West Kameng,1266,150,1,3,1420
West Siang,520,13,9,1,543
