District,Micro,Small,Medium,KVIC,Others under MSMEs,Cluster Finance,Msme Total
Anjaw,29,6,0,0,0,0,35
Changlang,294,54,0,0,0,0,348
Dibang Valley,17,1,0,0,0,0,18
East Kameng,123,4,0,0,0,0,129
East Siang,324,13,0,0,0,0,420
Kamle,49,0,0,0,0,0,49
Kra Daadi,126,0,0,0,0,0,127
Kurung Kumey,102,0,0,0,4,0,106
Lepa Rada,124,1,0,0,1,0,126
Lohit,249,5,5,0,0,0,270
Longding,226,4,0,0,0,0,230
Lower Dibang Valley,221,2,0,0,1,0,242
Lower Siang,125,1,0,0,0,0,127
Lower Subansiri,190,2,1,2,1,1,210
Namsai,250,7,0,0,1,0,271
Pakke Kessang,33,0,0,0,0,0,33
Papum Pare,1382,112,19,21,34,0,1800
Shi Yomi,15,0,0,0,1,0,16
Siang,37,0,0,0,1,0,38
Tawang,177,5,0,0,1,0,215
Tirap,227,5,0,0,0,0,232
Upper Siang,42,0,0,0,0,0,42
Upper Subansiri,155,2,0,1,1,0,159
West Kameng,407,17,0,0,2,0,464
West Siang,184,6,10,0,1,0,223
