District,Target(24-25) No.,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,120,2,4,0,0,0
Changlang,420,4,6,1,0,0
Dibang Valley,25,0,0,0,0,0
East Kameng,50,2,2,0,0,0
East Siang,190,69,98,4,0,0
Kamle,40,2,2,0,0,0
Kra Daadi,40,90,130,13,0,0
Kurung Kumey,115,1,12,2,0,0
Lepa Rada,40,17,35,7,0,0
Lohit,66,67,63,5,0,0
Longding,180,0,0,0,0,0
Lower Dibang Valley,95,17,22,0,0,0
Lower Siang,105,18,40,3,1,0.78
Lower Subansiri,73,54,150,17,1,0.38
Namsai,305,129,152,6,1,2.71
Pakke Kessang,105,2,11,6,0,0
Papum Pare,411,94,226,22,52,14.73
Shi Yomi,60,0,0,0,0,0
Siang,215,19,33,0,0,0
Tawang,205,11,23,4,0,0
Tirap,190,2,2,0,0,0
Upper Siang,155,6,6,0,0,0
Upper Subansiri,205,69,125,4,1,0.78
West Kameng,340,37,48,8,0,0
West Siang,50,43,54,0,0,0
