District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13078,7913,4433
Changlang,133407,61966,65995
Dibang Valley,8303,5564,5321
East Kameng,76758,52968,39909
East Siang,177621,123190,44474
Kamle,7366,5418,2640
Kra Daadi,13372,9044,3205
Kurung Kumey,30021,23571,20842
Lepa Rada,28047,20269,11251
Lohit,55277,29864,21358
Longding,40452,21414,15341
Lower Dibang Valley,67882,46421,30403
Lower Siang,61597,42135,7582
Lower Subansiri,83070,48314,26989
Namsai,90869,64953,33044
Pakke Kessang,5177,3046,1635
Papum Pare,421640,252948,188007
Shi Yomi,10307,6613,5717
Siang,22032,15330,3749
Tawang,59174,28716,22401
Tirap,58549,36343,28729
Upper Siang,47086,33557,19784
Upper Subansiri,93347,66300,32699
West Kameng,97593,54644,37489
West Siang,94121,57549,25572
