district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,2044,7957,1509,2407,10874,1876,54,4505
Changlang,9571,53567,7679,28294,83251,24528,3469,41334
Dibang Valley,740,3062,635,1098,4141,975,66,1904
East Kameng,4670,33248,2913,8248,43464,6310,1002,13920
East Siang,18424,157061,9903,51129,196428,36551,4345,73898
Kamle,811,3907,727,1694,5576,1437,27,2532
Kra Daadi,1771,7581,1288,2524,10627,1920,87,4382
Kurung Kumey,1495,5505,1038,1862,7950,1335,192,3549
Lepa Rada,2252,14218,1739,3884,19169,3057,627,6763
Lohit,9524,32097,6379,19303,44927,15150,1328,30155
Longding,2508,17787,1452,6917,29476,5027,251,9676
Lower Dibang Valley,5488,28640,3889,10511,39263,8566,1499,17498
Lower Siang,7749,94059,4031,19840,107542,15264,2815,30404
Lower Subansiri,7791,50182,5018,21915,64607,13739,827,30533
Namsai,9261,47343,5722,22740,66087,19264,3159,35160
Pakke Kessang,352,2745,281,542,4005,456,51,945
Papum Pare,42321,254275,25973,81730,311411,54601,8363,132414
Shi Yomi,564,3591,334,765,4805,537,86,1415
Siang,2024,14500,1087,5254,19762,4058,247,7525
Tawang,5791,35568,4621,8798,49325,7030,888,15477
Tirap,2977,20424,2147,6088,30336,4683,219,9284
Upper Siang,6055,20623,4597,10307,28074,8308,353,16715
Upper Subansiri,10209,49173,6644,17844,64735,13599,774,28827
West Kameng,9791,56757,8028,19044,75150,14756,2209,31044
West Siang,7567,48652,4273,13832,64895,9069,1660,23059
