District,Target (24-25),Sanctioned,Disbursed,Outstanding,NPA,PMEGP NPA Pct
Anjaw,6,1,2,4,1,4.89
Changlang,6,3,9,11,2,10.51
Dibang Valley,6,0,0,0,0,0
East Kameng,12,0,1,9,4,18.05
East Siang,15,1,5,24,16,32.59
Kamle,6,1,4,11,10,49.95
Kra Daadi,6,0,4,12,7,62.96
Kurung Kumey,9,3,8,16,5,6.61
Lepa Rada,6,0,7,12,4,40.37
Lohit,12,2,2,10,1,8.31
Longding,6,0,5,6,1,12.4
Lower Dibang Valley,6,1,1,6,2,6.6
Lower Siang,6,1,8,11,7,52.19
Lower Subansiri,15,10,24,84,38,12.8
Namsai,12,0,2,47,44,86.42
Pakke Kessang,6,2,3,4,1,31.54
Papum Pare,60,125,178,621,216,16.85
Shi Yomi,6,0,2,7,4,45.28
Siang,6,0,1,7,6,79.44
Tawang,14,3,10,24,3,16.03
Tirap,6,0,4,6,1,14.79
Upper Siang,6,0,5,7,0,0
Upper Subansiri,9,3,13,61,44,64.2
West Kameng,15,9,26,72,12,7.03
West Siang,12,3,6,27,12,32.12
