district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,3,2,4,1,0,0,10
Changlang,380,15,270,0,0,0,665
Dibang Valley,52,0,5,0,0,0,57
East Kameng,115,35,23,0,0,0,173
East Siang,158,52,21,3,0,0,234
Kamle,20,0,0,0,0,0,20
Kra Daadi,357,0,2,1,0,0,360
Kurung Kumey,562,2,3,0,0,0,567
Lepa Rada,34,3,7,0,0,0,44
Lohit,34,16,59,1,0,0,110
Longding,1724,7,3,2,0,0,1736
Lower Dibang Valley,223,6,7,0,0,0,236
Lower Siang,104,7,7,0,0,0,118
Lower Subansiri,430,42,21,2,0,0,495
Namsai,185,24,908,1,0,0,1118
Pakke Kessang,60,2,9,2,0,0,73
Papum Pare,2451,175,297,12,0,3,2938
Shi Yomi,6,0,277,0,0,0,283
Siang,7,0,5,0,0,0,12
Tawang,9,17,961,0,0,0,987
Tirap,433,4,18,0,0,0,455
Upper Siang,40,0,8,0,0,0,48
Upper Subansiri,119,16,4,0,0,0,139
West Kameng,113,26,1466,5,1,0,1611
West Siang,93,9,59,1,0,0,162
