District,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Pct
Anjaw,12,319,39,370,4.25
Changlang,495,1090,59,1644,3.32
Dibang Valley,6,165,10,181,0.14
East Kameng,137,315,84,536,7.96
East Siang,238,939,329,1506,5.56
Kamle,30,347,51,428,11.62
Kra Daadi,317,399,62,778,11.6
Kurung Kumey,118,411,38,567,6.17
Lepa Rada,148,321,45,514,7.16
Lohit,212,679,67,958,5.05
Longding,256,960,42,1258,8.48
Lower Dibang Valley,191,448,117,756,2.33
Lower Siang,53,481,35,569,7.51
Lower Subansiri,371,810,221,1402,9.92
Namsai,1691,1001,121,2813,6.3
Pakke Kessang,86,374,7,467,6.83
Papum Pare,1187,2061,1238,4486,16.21
Shi Yomi,2,9,12,23,22.48
Siang,41,205,27,273,7.06
Tawang,153,658,188,999,5.13
Tirap,299,959,36,1294,3.63
Upper Siang,79,376,36,491,0.23
Upper Subansiri,172,559,151,882,17.79
West Kameng,298,1021,332,1651,5.45
West Siang,221,675,153,1049,7.35
