District,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,10,114,124
Changlang,0,0,0,0,8,96,1188,1292
Dibang Valley,0,0,0,0,0,8,98,106
East Kameng,0,0,0,0,17,95,591,703
East Siang,0,0,0,7,79,475,2379,2940
Kamle,0,0,0,0,0,6,43,49
Kra Daadi,0,0,0,0,0,17,108,125
Kurung Kumey,0,0,0,0,6,11,136,153
Lepa Rada,0,0,0,0,19,60,337,416
Lohit,0,0,0,1,5,200,943,1149
Longding,0,0,0,0,3,21,353,377
Lower Dibang Valley,0,0,0,0,3,227,1142,1372
Lower Siang,0,0,0,0,79,54,398,531
Lower Subansiri,0,0,0,0,42,227,1045,1314
Namsai,0,0,0,0,14,174,1304,1492
Pakke Kessang,0,0,0,0,4,7,99,110
Papum Pare,1,0,0,7,469,2438,10830,13745
Shi Yomi,0,0,0,0,0,4,41,45
Siang,0,0,0,0,1,39,112,152
Tawang,1,0,0,0,12,192,1042,1247
Tirap,0,0,0,0,9,55,543,607
Upper Siang,0,0,0,0,1,49,346,396
Upper Subansiri,0,0,0,0,42,147,932,1121
West Kameng,0,0,0,1,51,187,1792,2031
West Siang,0,0,0,0,53,166,1140,1359
