District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,71,1,0,1,73
Changlang,223,336,0,0,559
Dibang Valley,3,10,0,0,13
East Kameng,35,1401,0,1,1437
East Siang,216,710,0,1,927
Kamle,17,6,0,0,23
Kra Daadi,21,19,0,0,40
Kurung Kumey,4,26,0,0,30
Lepa Rada,31,455,0,0,486
Lohit,484,678,0,0,1162
Longding,159,35,0,1,195
Lower Dibang Valley,134,113,0,0,247
Lower Siang,44,13,0,0,57
Lower Subansiri,198,794,0,0,992
Namsai,310,401,0,13,724
Pakke Kessang,84,2,0,0,86
Papum Pare,3874,1755,0,17,5646
Shi Yomi,0,0,0,0,0
Siang,7,4,0,0,11
Tawang,12,23,0,0,35
Tirap,88,948,0,0,1036
Upper Siang,6,68,0,0,74
Upper Subansiri,195,710,0,0,905
West Kameng,56,755,0,0,811
West Siang,279,181,0,1,461
