district,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,385
Changlang,0,8,1,0,0,50,59,1071
Dibang Valley,0,0,0,0,0,0,0,135
East Kameng,0,0,1,0,0,7,8,408
East Siang,0,10,0,0,0,0,10,915
Kamle,0,0,0,0,0,0,0,257
Kra Daadi,0,0,0,0,0,0,0,533
Kurung Kumey,0,0,0,0,0,0,0,392
Lepa Rada,0,0,2,0,0,0,2,411
Lohit,0,5,0,0,0,0,5,923
Longding,0,8,0,0,0,0,8,1575
Lower Dibang Valley,0,5,1,0,0,0,6,426
Lower Siang,0,3,6,0,0,0,9,380
Lower Subansiri,0,12,2,0,0,11,25,604
Namsai,0,9,2,0,0,470,481,1841
Pakke Kessang,0,0,0,0,0,0,0,219
Papum Pare,0,48,26,0,0,10,84,2085
Shi Yomi,0,0,0,0,0,0,0,13
Siang,0,0,0,0,0,0,0,234
Tawang,0,1,5,0,0,0,6,671
Tirap,0,2,1,0,0,0,3,1174
Upper Siang,0,0,0,0,0,0,0,325
Upper Subansiri,0,1,2,0,0,0,3,826
West Kameng,0,2,3,0,0,0,5,1133
West Siang,0,0,4,0,1,34,39,784
