district,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,1386187,12,0,0,3,4108
Changlang,13808584,101,339,1693,8787,46670
Dibang Valley,873007,0,0,1,1272,2833
East Kameng,6658188,72,631,3034,7041,15277
East Siang,19321668,263,1935,52276,87861,51775
Kamle,1200721,10,0,0,3,2377
Kra Daadi,1426395,9,0,13,748,5198
Kurung Kumey,1205983,6,0,0,7241,4276
Lepa Rada,3463881,23,0,678,3011,10729
Lohit,7027476,108,230,13118,8080,25908
Longding,4847530,8,0,2,140,16446
Lower Dibang Valley,6804068,55,207,24563,26461,22984
Lower Siang,4018872,11,0,31,837,17589
Lower Subansiri,10041063,16,694,12690,36684,27792
Namsai,7271867,348,999,30177,19659,32383
Pakke Kessang,1085115,3,0,1,242,4380
Papum Pare,61338247,1958285,52628,392672,540613,282252
Shi Yomi,550252,0,0,3,808,5225
Siang,1976561,1,0,14,333,6460
Tawang,5174234,16,174,12811,31450,37831
Tirap,6243470,19,0,9,1079,35262
Upper Siang,3302040,41,0,133,5073,9699
Upper Subansiri,7784015,114,0,609,15263,20040
West Kameng,13265666,50,718,4664,33748,111316
West Siang,12801897,40,786,11083,67802,34427
