District,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,309,0,0,0,0,0,0,22,0,1,332
Changlang,685,0,0,10,138,0,0,113,0,1,947
Dibang Valley,119,0,0,0,0,0,0,0,0,0,119
East Kameng,353,0,0,1,253,11,10,11,0,0,639
East Siang,354,0,0,45,145,13,5,298,2,12,874
Kamle,191,0,0,0,0,0,0,15,0,0,206
Kra Daadi,372,0,0,0,85,5,4,100,0,1,567
Kurung Kumey,217,0,0,0,76,0,0,17,0,0,310
Lepa Rada,194,0,0,1,65,2,1,84,0,0,347
Lohit,779,0,0,2,30,3,0,24,0,0,838
Longding,1371,0,0,0,0,0,0,34,0,1,1406
Lower Dibang Valley,234,0,0,25,388,4,5,58,0,0,714
Lower Siang,234,0,0,0,231,8,13,47,0,1,534
Lower Subansiri,338,0,0,4,213,17,16,80,0,2,670
Namsai,816,0,0,23,11,8,2,560,2,1,1423
Pakke Kessang,184,0,0,0,0,0,0,4,0,1,189
Papum Pare,550,1,0,217,368,13,19,202,3,85,1458
Shi Yomi,0,0,0,0,208,0,0,0,0,0,208
Siang,125,0,0,0,88,5,1,68,0,0,287
Tawang,441,0,0,1,3,0,0,97,0,0,542
Tirap,1121,0,0,0,157,0,0,6,0,0,1284
Upper Siang,151,0,0,0,83,1,0,135,0,0,370
Upper Subansiri,660,0,0,0,261,26,9,53,0,1,1010
West Kameng,854,0,0,0,13,1,0,121,0,2,991
West Siang,385,0,0,1,195,7,8,166,1,5,768
