District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,0,0,0,101,582,683,7
Changlang,0,0,22,1076,4262,5360,91
Dibang Valley,0,0,0,57,504,561,34
East Kameng,0,0,201,621,2789,3611,121
East Siang,0,2,257,2810,9529,12598,291
Kamle,0,0,4,52,214,270,5
Kra Daadi,0,0,3,149,461,613,10
Kurung Kumey,0,0,8,131,914,1053,31
Lepa Rada,0,0,99,427,1418,1944,77
Lohit,1,2,22,1099,3545,4669,46
Longding,0,0,20,333,1761,2114,48
Lower Dibang Valley,4,0,11,823,3832,4670,72
Lower Siang,0,0,257,307,1497,2061,25
Lower Subansiri,0,0,140,1517,4620,6277,330
Namsai,1,1,44,1001,3876,4923,180
Pakke Kessang,0,0,7,108,410,525,3
Papum Pare,3,13,2533,12824,36753,52126,1998
Shi Yomi,0,0,2,21,211,234,22
Siang,0,0,5,189,496,690,8
Tawang,3,0,42,740,3577,4362,75
Tirap,0,0,17,697,2763,3477,37
Upper Siang,0,0,3,339,1378,1720,53
Upper Subansiri,1,0,229,836,3012,4078,134
West Kameng,6,1,137,1333,6204,7681,171
West Siang,0,0,300,1272,4549,6121,107
