District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,668,2,731,0,0,167,2,0,5,1575
Changlang,1742,70,1536,0,43,353,549,1,59,4353
Dibang Valley,359,1,372,0,0,102,3,0,0,837
East Kameng,721,6,517,0,12,125,81,0,12,1474
East Siang,1582,31,1944,8,105,313,297,80,19,4379
Kamle,598,3,598,0,0,132,33,0,6,1370
Kra Daadi,986,9,461,0,23,304,760,0,155,2698
Kurung Kumey,626,2,38,0,15,154,664,0,21,1520
Lepa Rada,733,2,804,0,40,190,17,0,13,1799
Lohit,2110,18,2272,0,172,692,241,0,45,5550
Longding,2496,5,229,0,2,522,2285,0,29,5568
Lower Dibang Valley,958,59,858,0,37,211,448,1,7,2579
Lower Siang,785,4,799,0,46,125,101,1,6,1867
Lower Subansiri,1409,22,1103,0,163,297,699,57,67,3817
Namsai,2579,69,1520,0,39,1507,1177,0,91,6982
Pakke Kessang,324,9,540,0,3,190,86,0,13,1165
Papum Pare,6110,156,7271,55,213,1398,3838,211,946,20198
Shi Yomi,5,0,19,0,0,0,13,0,1,38
Siang,347,0,402,0,30,68,3,0,14,864
Tawang,933,8,1284,0,8,90,1304,167,30,3824
Tirap,2023,9,1721,0,8,509,319,0,5,4594
Upper Siang,544,2,563,0,15,142,5,0,8,1279
Upper Subansiri,1298,12,1493,0,133,351,31,0,54,3372
West Kameng,1518,16,2112,14,94,438,2010,204,89,6495
West Siang,1369,12,1844,6,55,367,81,71,45,3850
