district,Number of Rural Branches,No of camps conducted during the Quarter
Anjaw,2,0
Changlang,11,12
Dibang Valley,1,8
East Kameng,2,33
East Siang,7,1
Kamle,1,0
Kra Daadi,2,3
Kurung Kumey,1,2
Lepa Rada,3,5
Lohit,5,0
Longding,3,7
Lower Dibang Valley,2,0
Lower Siang,4,6
Lower Subansisri,5,0
Namsai,4,4
Pakke Kessang,1,5
Papum Pare,21,10
Shi Yomi,2,6
Siang,5,8
Tawang,4,9
Tirap,3,5
Upper Siang,4,4
Upper Subansiri,6,0
West Kameng,18,3
West Siang,3,9
