District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,1,6,7
Changlang,0,0,0,23,68,91
Dibang Valley,0,0,0,21,13,34
East Kameng,0,0,0,17,104,121
East Siang,0,0,0,64,227,291
Kamle,0,0,0,0,5,5
Kra Daadi,0,0,0,1,9,10
Kurung Kumey,0,0,0,14,17,31
Lepa Rada,0,0,0,34,43,77
Lohit,0,0,0,11,35,46
Longding,0,0,0,3,45,48
Lower Dibang Valley,0,0,0,10,62,72
Lower Siang,0,0,0,2,23,25
Lower Subansiri,0,0,0,62,268,330
Namsai,0,0,2,44,134,180
Pakke Kessang,0,0,0,1,2,3
Papum Pare,0,0,22,542,1434,1998
Shi Yomi,0,0,1,10,11,22
Siang,0,0,0,2,6,8
Tawang,0,0,1,39,35,75
Tirap,0,0,0,5,32,37
Upper Siang,0,0,0,18,35,53
Upper Subansiri,0,0,0,15,119,134
West Kameng,0,0,0,32,139,171
West Siang,0,0,0,25,82,107
