District,Micro,Small,Medium,KVIC,Other Msme,Total Msme NPA
Anjaw,3,0,0,0,0,3
Changlang,72,3,0,0,0,75
Dibang Valley,3,0,0,0,0,3
East Kameng,14,0,0,0,2,16
East Siang,247,5,0,0,19,271
Kamle,18,0,0,0,0,18
Kra Daadi,59,0,0,0,0,59
Kurung Kumey,29,0,0,0,1,30
Lepa Rada,8,0,0,0,2,10
Lohit,60,0,0,0,2,62
Longding,52,1,0,0,0,53
Lower Dibang Valley,45,0,0,0,0,45
Lower Siang,34,0,0,0,0,34
Lower Subansiri,159,10,0,0,6,175
Namsai,122,28,0,0,0,150
Pakke Kessang,11,0,0,0,0,11
Papum Pare,2136,130,9,30,152,2457
Shi Yomi,2,0,0,0,1,3
Siang,8,0,0,0,0,8
Tawang,51,4,0,0,1,56
Tirap,30,0,0,0,0,30
Upper Siang,12,0,0,0,0,12
Upper Subansiri,104,0,0,1,16,121
West Kameng,75,0,0,0,0,75
West Siang,121,0,0,0,0,121
