district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,461,1209.26,174,413.1
Changlang,2212,6947.45,773,2538.36
Dibang Valley,369,1240.28,101,381.56
East Kameng,1608,5700.22,444,1507.47
East Siang,4753,23009.46,1294,8000.42
Kamle,329,722.93,112,266.63
Kra Daadi,793,1528.37,248,390.75
Kurung Kumey,893,2184.7,192,477.67
Lepa Rada,985,3546.74,253,989.51
Lohit,2670,7803.44,792,2239.61
Longding,1378,3063.86,676,1167.82
Lower Dibang Valley,2053,6582.11,666,2122.58
Lower Siang,869,3789.6,256,1230.63
Lower Subansiri,3071,12850.07,617,3051.15
Namsai,3944,9794.82,1698,3410.14
Pakke Kessang,399,906.64,137,348.27
Papum Pare,21834,121070.18,5463,36510.64
Shi Yomi,45,252.77,9,56.97
Siang,359,1375.27,107,454.04
Tawang,1204,6120.01,531,3321.4
Tirap,1753,4925.42,668,1571.92
Upper Siang,645,2363.24,188,796.44
Upper Subansiri,1881,8161.05,632,2229.88
West Kameng,2712,11664.96,931,4216.11
West Siang,2358,10857.72,623,3226.6
