District,Christians,Muslims,Buddhists,Sikhs,Zorastrians,Jains,TOTAL Loan To Minority
Anjaw,18,3,22,1,0,0,44
Changlang,1327,63,687,15,0,0,2092
Dibang Valley,23,4,8,0,0,0,35
East Kameng,1091,81,168,7,0,0,1347
East Siang,604,192,76,21,0,3,896
Kamle,64,1,1,0,0,0,66
Kra Daadi,904,1,6,2,0,0,913
Kurung Kumey,1420,14,13,0,0,0,1447
Lepa Rada,275,27,60,0,0,0,362
Lohit,200,84,353,7,0,0,644
Longding,3782,13,18,3,0,0,3816
Lower Dibang Valley,700,55,69,4,0,0,828
Lower Siang,364,21,18,2,0,0,405
Lower Subansiri,2692,202,162,18,0,0,3074
Namsai,545,69,2617,3,0,0,3234
Pakke Kessang,172,9,18,3,0,0,202
Papum Pare,12652,1613,1885,68,2,36,16256
Shi Yomi,33,1,106,0,0,0,140
Siang,19,1,17,0,0,0,37
Tawang,81,39,3002,30,1,0,3153
Tirap,1880,17,349,2,0,0,2248
Upper Siang,174,10,112,0,0,0,296
Upper Subansiri,370,47,66,1,0,0,484
West Kameng,501,100,5185,33,0,1,5820
West Siang,220,74,287,9,0,1,591
