District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS Total
Anjaw,0,0,1,0,0,0,1
Changlang,0,20,22,0,0,67,109
Dibang Valley,0,0,1,0,0,3,4
East Kameng,0,2,53,0,0,84,139
East Siang,0,31,38,0,0,25,94
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,0,0,0,0,1
Kurung Kumey,0,0,15,0,0,13,28
Lepa Rada,0,1,27,0,0,22,50
Lohit,0,16,16,0,0,40,72
Longding,0,13,0,0,0,0,13
Lower Dibang Valley,0,9,11,0,0,36,56
Lower Siang,0,9,28,0,0,0,37
Lower Subansiri,0,25,57,0,0,84,166
Namsai,0,18,20,0,0,1062,1100
Pakke Kessang,0,0,18,0,0,0,18
Papum Pare,0,199,418,152,0,343,1112
Shi Yomi,0,0,3,0,0,24,27
Siang,0,0,0,0,0,1,1
Tawang,0,3,23,0,0,24,50
Tirap,0,10,17,0,0,17,44
Upper Siang,0,2,3,0,0,98,103
Upper Subansiri,0,11,57,0,0,54,122
West Kameng,0,17,40,0,0,20,77
West Siang,0,8,54,0,1,55,118
