District,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,4,0,0,0,0,4,1,0,0,10,1
Changlang,6,1,0,0,0,11,2,52,9,27,0
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,2,0,1,0,0,9,4,12,1,6,0
East Siang,98,4,1,1,0,24,16,105,3,17,1
Kamle,2,0,2,0,0,11,10,0,0,11,0
Kra Daadi,130,13,0,0,0,12,7,23,0,16,0
Kurung Kumey,12,2,2,0,0,16,5,17,0,33,2
Lepa Rada,35,7,0,0,0,12,4,41,0,39,1
Lohit,63,5,0,1,0,10,1,181,1,27,0
Longding,0,0,1,0,0,6,1,2,24,6,0
Lower Dibang Valley,22,0,2,6,0,6,2,54,1,10,0
Lower Siang,40,3,1,0,0,11,7,46,1,48,0
Lower Subansiri,150,17,2,1,0,84,38,177,5,20,2
Namsai,152,6,1,0,0,47,44,178,4,30,1
Pakke Kessang,11,6,2,0,0,4,1,3,0,3,0
Papum Pare,226,22,52,3,2,621,216,239,70,90,3
Shi Yomi,0,0,0,0,0,7,4,0,0,9,0
Siang,33,0,0,0,0,7,6,30,0,18,0
Tawang,23,4,2,0,0,24,3,7,0,61,1
Tirap,2,0,0,0,0,6,1,8,0,6,0
Upper Siang,6,0,0,0,0,7,0,15,0,7,0
Upper Subansiri,125,4,2,0,0,61,44,133,5,14,0
West Kameng,48,8,3,1,0,72,12,91,2,90,5
West Siang,54,0,0,0,0,27,12,55,5,21,1
