District,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,8,1.9,177,277.72,18,83,203,362.62
Changlang,200,41.39,553,850.73,43,166.64,796,1058.76
Dibang Valley,1,0.5,41,55.6,6,0.48,48,56.58
East Kameng,64,1.13,130,271.47,32,228.68,226,501.28
East Siang,65,14.54,437,745.55,148,973.42,650,1733.51
Kamle,12,5.51,173,216.95,27,78.86,212,301.32
Kra Daadi,78,29.6,182,199.13,25,108.84,285,337.57
Kurung Kumey,45,0.7,202,254.15,19,73.26,266,328.11
Lepa Rada,74,17.18,139,211.69,33,156.39,246,385.26
Lohit,111,24.35,210,330.06,28,133.02,349,487.43
Longding,209,48.94,536,817.74,30,69.12,775,935.8
Lower Dibang Valley,123,23.79,128,216.87,37,258.1,288,498.76
Lower Siang,12,2.63,208,338.07,15,75.65,235,416.35
Lower Subansiri,55,10.67,288,577.16,86,453.81,429,1041.64
Namsai,1017,363.5,417,769.71,55,264.46,1489,1397.67
Pakke Kessang,23,6.05,98,82.15,3,10.55,124,98.75
Papum Pare,269,41.99,789,1653.12,442,2409.99,1500,4105.1
Shi Yomi,1,0,1,0.12,4,18.08,6,18.2
Siang,9,2.57,113,141.63,11,47.48,133,191.68
Tawang,39,16.37,235,429.4,79,490.85,353,936.62
Tirap,196,29.82,493,751.58,20,48.01,709,829.41
Upper Siang,48,6.48,202,203.92,19,94.03,269,304.43
Upper Subansiri,35,3.39,278,243.5,67,286.57,380,533.46
West Kameng,48,16.98,295,569.04,125,694.36,468,1280.38
West Siang,50,6.85,293,605.73,78,453.08,421,1065.66
