District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Anjaw,12153.79,0.0,0.0,12153.79,4661.07,0.0,0.0,4661.07,38.35,,,38.35
Changlang,81897.69,2931.66,0.0,84829.35,31631.68,1602.87,0.0,33234.55,38.62,54.67,,39.18
Dibang Valley,22920.54,1616.24,0.0,24536.78,3706.61,294.58,0.0,4001.19,16.17,18.23,,16.31
East Kameng,368.47,27527.49,13.86,27909.82,575.17,22993.47,58.52,23627.16,156.1,83.53,422.22,84.66
East Siang,38945.89,133833.39,193.02,172972.3,10697.53,66063.16,257.59,77018.28,27.47,49.36,133.45,44.53
Kamle,3425.71,0.0,0.0,3425.71,2715.11,0.0,0.0,2715.11,79.26,,,79.26
Kra Daadi,7968.44,0.0,0.0,7968.44,5952.1,0.0,0.0,5952.1,74.7,,,74.7
Kurung Kumey,6634.53,3403.89,0.0,10038.42,6133.91,1982.28,0.0,8116.19,92.45,58.24,,80.85
Lepa Rada,34382.75,1637.58,0.0,36020.33,12559.04,1371.89,0.0,13930.93,36.53,83.78,,38.68
Lohit,12523.94,46582.51,0.0,59106.45,6187.13,21650.99,0.0,27838.12,49.4,46.48,,47.1
Longding,17614.6,0.0,0.0,17614.6,13942.92,0.0,0.0,13942.92,79.16,,,79.16
Lower Dibang Valley,2434.89,82175.46,0.0,84610.35,677.88,25041.42,0.0,25719.3,27.84,30.47,,30.4
Lower Siang,27750.01,0.0,0.0,27750.01,17900.4,0.0,0.0,17900.4,64.51,,,64.51
Lower Subansiri,15340.37,73889.66,0.0,89230.03,9277.19,38440.56,0.0,47717.75,60.48,52.02,,53.48
Namsai,29418.48,53680.3,0.0,83098.78,12613.97,21047.84,0.0,33661.81,42.88,39.21,,40.51
Pakke Kessang,4139.93,0.0,0.0,4139.93,3764.58,0.0,0.0,3764.58,90.93,,,90.93
Papum Pare,122881.04,1144191.55,1170.13,1268242.72,78588.89,461411.58,834.74,540835.21,63.96,40.33,71.34,42.64
Shi Yomi,10247.92,2505.22,0.0,12753.14,1147.92,710.49,0.0,1858.41,11.2,28.36,,14.57
Siang,14730.47,0.0,0.0,14730.47,5028.49,0.0,0.0,5028.49,34.14,,,34.14
Tawang,38771.83,147281.71,0.0,186053.54,7110.11,19810.22,0.0,26920.33,18.34,13.45,,14.47
Tirap,35083.35,2277.33,0.0,37360.68,19666.02,1374.86,0.0,21040.88,56.06,60.37,,56.32
Upper Siang,45422.61,2521.63,0.0,47944.24,9570.84,706.12,0.0,10276.96,21.07,28.0,,21.44
Upper Subansiri,19217.33,31889.36,0.0,51106.69,7391.91,27590.45,0.0,34982.36,38.46,86.52,,68.45
West Kameng,144532.71,443.61,0.0,144976.32,59184.36,4613.41,0.0,63797.77,40.95,1039.97,,44.01
West Siang,10054.62,92463.77,0.0,102518.39,2653.2,41644.71,0.0,44297.91,26.39,45.04,,43.21
