district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,146.71,23,502.95,98,1690.03,299,11560.84,1918
Dimapur,515.81,108,2263.46,653,11364.06,1356,73226.72,15086
Kiphire,15.72,4,24.08,7,20.82,6,47.51,13
Kohima,114.69,20,491.17,140,5557.48,712,48938.70,8206
Longleng,0.65,1,6.86,2,10.00,1,188.30,50
Mokokchung,41.34,8,190.62,40,1609.37,527,11599.32,3692
Mon,16.49,6,92.82,24,801.71,173,3592.12,921
Niuland,0.00,0,1.85,1,48.13,20,367.24,213
Noklak,0.00,0,3.34,1,0.00,0,10.29,2
Peren,9.57,3,21.81,8,134.47,25,528.62,212
Phek,18.60,2,64.46,7,137.47,49,884.36,239
Shamator,0.00,0,11.17,1,31.24,12,225.27,98
Tseminyu,0.00,0,0.63,1,144.55,63,1079.18,346
Tuensang,3.80,1,48.58,10,25.19,2,135.43,44
Wokha,42.13,3,123.12,16,536.94,147,3323.84,1184
Zunheboto,27.90,4,79.85,25,205.36,56,1337.62,458
