district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,7,13,0,68,10,78,10,14,0,20,24
Dimapur,6,12,127,109,112,222,6,13,45,145,64
Kiphire,2,4,0,23,0,23,2,3,0,6,5
Kohima,6,86,0,87,157,244,9,46,0,92,55
Longleng,4,1,0,11,3,14,3,1,0,5,4
Mokokchung,9,28,0,16,20,35,13,12,0,37,25
Mon,4,9,0,153,61,214,9,7,0,13,16
Niuland,2,0,0,5,7,12,2,0,0,2,2
Noklak,1,1,0,21,0,21,1,1,0,2,2
Peren,5,1,0,24,2,24,5,1,0,6,6
Phek,3,5,0,18,0,18,3,5,0,8,8
Shamator,1,0,0,6,0,6,2,0,0,1,2
Tseminyu,2,1,0,2,0,2,2,1,0,3,3
Tuensang,1,8,0,82,0,82,3,4,0,9,7
Wokha,2,8,0,30,8,38,6,9,0,10,15
Zunheboto,4,8,0,12,1,13,7,6,0,12,13
