district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,79318,1909,7,2482,429
Dimapur,220206,8388,40,22121,1057
Kiphire,27726,478,0,481,760
Kohima,131308,3001,26,8252,575
Longleng,20699,3448,0,3776,24
Mokokchung,100241,2860,16,3573,911
Mon,96021,4443,19,5744,315
Niuland,3303,542,3,773,14
Noklak,9552,446,0,446,24
Peren,33354,1553,1,1553,852
Phek,43795,1286,0,1580,769
Shamator,3540,1352,0,1742,4
Tseminyu,9064,176,0,155,85
Tuensang,30230,2250,0,2250,196
Wokha,51754,2117,0,2561,316
Zunheboto,42655,1380,1,1783,483
