district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,95.58,25,22,79.16,39.86,44.16,21,8.75,504.53,144,44.50,109,48
Dimapur,990.86,181,103,479.74,33.13,339.17,209,12.21,2777.51,993,34.47,191,106
Kiphire,175.16,82,30,61.64,5.92,18.78,15,4.53,414.42,248,7.44,63,16
Kohima,541.08,48,31,97.01,1.84,78.07,61,16.82,464.23,239,76.96,113,22
Longleng,0.16,1,1,0.16,0.01,0.00,0,0.00,36.79,32,0.03,6,1
Mokokchung,272.72,85,42,163.26,12.75,91.65,98,6.48,1414.44,666,22.37,113,28
Mon,65.96,21,17,50.19,0.93,31.32,38,14.28,219.32,187,2.96,64,27
Niuland,58.07,16,10,29.89,0.04,0.00,0,0.00,192.94,89,0.14,28,4
Noklak,0.00,0,0,0.00,0.00,0.00,0,0.00,0.00,0,0.67,11,1
Peren,30.54,18,9,18.71,0.01,13.86,9,8.39,165.24,60,1.42,9,2
Phek,45.74,16,5,4.41,1.20,33.51,28,10.58,316.69,199,2.00,87,38
Shamator,9.34,6,6,9.34,1.14,0.00,0,0.00,23.39,30,1.41,24,14
Tseminyu,0.00,0,0,0.00,6.88,4.21,4,31.70,13.28,8,6.88,10,10
Tuensang,21.92,12,10,16.46,0.50,12.08,10,6.60,183.04,121,1.53,43,17
Wokha,202.44,48,26,113.40,0.61,14.03,18,2.22,632.45,266,5.64,97,21
Zunheboto,52.95,21,15,33.45,10.10,27.06,38,12.56,215.48,150,10.31,40,29
