district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,3741,410.83,62,849.97,18042186,268440.04,60056,3545.77,59794,428622.14,53179,1633.53
Dimapur,49870,5527.39,4331,6249.14,38779595,779973.56,361254,67341.45,464567,2421739.41,103983,3351.53
Kiphire,0,0.00,0,0.00,3113426,34931.28,1178,86.38,76,1.19,2953,99.34
Kohima,6732,763.25,161,38.79,20354492,391058.43,192900,11578.49,108415,1062643.58,63054,2164.00
Longleng,0,0.00,0,0.00,2255819,23260.69,866,17.45,61,1.08,1394,50.22
Mokokchung,537,68.53,22,20.26,10964175,159872.63,67229,3076.57,23080,128538.24,19000,554.27
Mon,496,44.36,25,9.96,8436577,103451.09,10565,888.90,3807,107312.28,9816,248.68
Niuland,0,0.00,0,0.00,887112,9284.92,1435,77.07,0,0.00,905,32.67
Noklak,0,0.00,0,0.00,854603,8851.86,395,23.25,1,0.00,683,18.03
Peren,0,0.00,0,0.00,4140308,43789.51,12730,114.03,427,606.14,4324,142.63
Phek,0,0.00,11,13.78,4092774,50720.72,4008,170.22,4,0.63,5513,170.17
Shamator,0,0.00,0,0.00,532208,6016.79,1875,41.76,5,0.02,535,14.75
Tseminyu,0,0.00,0,0.00,1177414,13944.88,7290,249.52,1814,292.58,2456,77.88
Tuensang,0,0.00,115,773.07,5696729,65050.63,1517,84.70,287,491.87,8228,228.90
Wokha,574,77.44,51,44.42,6711083,98389.62,22536,1550.32,12117,82441.15,13160,359.66
Zunheboto,387,36.08,0,0.00,4615189,64124.14,6630,557.22,2599,76773.48,7317,221.86
