district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,44974.41,68101.22,552.64,103.15,86.07,,43599.18,79118.77,0.00,92.59,113628.27,122717.95
Dimapur,22801.58,75922.46,337774.87,48.83,144.63,59.77,46691.70,52494.78,565083.71,65.71,436498.91,664270.19
Kiphire,4670.93,15024.81,0.00,133.14,115.70,,3508.38,12986.42,0.00,119.41,19695.74,16494.80
Kohima,18052.63,213868.01,1431.18,45.97,31.69,,39268.60,674843.70,0.00,32.68,233351.82,714112.30
Longleng,15139.66,144.88,0.00,220.65,54.95,,6861.45,263.67,0.00,214.52,15284.54,7125.12
Mokokchung,26563.24,65436.79,289.36,88.68,90.76,,29955.62,72096.00,0.00,90.43,92289.39,102051.62
Mon,19071.98,27571.12,0.00,120.58,100.32,,15817.05,27482.07,0.00,107.72,46643.10,43299.12
Niuland,3705.51,0.00,0.00,211.75,,,1749.98,0.00,0.00,211.75,3705.51,1749.98
Noklak,3805.31,214.42,0.00,82.31,91.98,,4623.08,233.11,0.00,82.78,4019.73,4856.19
Peren,24182.67,1370.58,0.00,124.34,66.45,,19448.36,2062.44,0.00,118.79,25553.25,21510.80
Phek,10262.26,23698.49,0.00,115.94,129.60,,8851.66,18286.35,0.00,125.14,33960.75,27138.01
Shamator,2921.63,0.00,0.00,157.01,,,1860.83,0.00,0.00,157.01,2921.63,1860.83
Tseminyu,9898.21,688.00,0.00,164.51,36.56,,6016.75,1882.06,0.00,134.02,10586.21,7898.81
Tuensang,6623.62,34409.39,0.00,146.26,174.39,,4528.65,19731.38,0.00,169.14,41033.01,24260.03
Wokha,10142.66,32752.80,150.41,93.58,96.30,,10838.33,34012.20,0.00,95.98,43045.87,44850.53
Zunheboto,13182.36,32391.26,0.00,89.17,200.10,,14783.99,16187.21,0.00,147.15,45573.62,30971.20
