district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1306.54,13929,10660,18114,9698,1830,6589,10861,24589,13468
Dimapur,3403.08,53429,42168,75561,55097,11602,32873,12739,95597,82738
Kiphire,456.37,9426,8072,16677,6039,1964,1421,6510,17498,10964
Kohima,1218.24,15757,11358,17466,13807,4160,7480,15128,27115,9743
Longleng,319.56,8940,7837,18401,10144,592,12709,16817,16777,0
Mokokchung,1509.05,17953,16118,24612,16787,4924,6854,15839,34071,11927
Mon,1594.73,28791,26807,52143,21542,3570,20120,24128,55598,31512
Niuland,77.65,2581,1807,4234,1398,358,1243,4396,4388,0
Noklak,145.00,3029,2805,3933,2485,15,1516,5848,5834,0
Peren,701.13,10073,8012,17877,7867,332,5960,18114,18085,22
Phek,998.56,12063,10203,21805,9026,3101,4755,10574,22266,11672
Shamator,125.85,2965,2449,3883,2748,511,3601,5412,5414,12
Tseminyu,124.67,1529,930,2395,858,282,642,2380,2459,87
Tuensang,810.46,14797,14508,18352,12390,1860,9163,4276,29305,24931
Wokha,700.44,10389,6171,13841,8051,638,4221,7196,16560,7605
Zunheboto,499.80,10030,9505,11230,7161,3240,3520,15408,19535,4134
