district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,204.99,42,15.63,14,0.75,1,0.20,382.41,87
Dimapur,880.51,134,40.24,47,2.78,7,0.17,1665.07,392
Kiphire,7.00,4,3.28,5,4.12,6,15.27,26.98,29
Kohima,130.11,38,12.00,16,7.74,8,2.18,354.99,172
Longleng,37.63,27,8.10,13,4.62,7,6.42,71.93,66
Mokokchung,438.56,184,116.88,47,20.82,14,1.75,1189.90,439
Mon,130.33,89,38.38,35,11.99,17,3.23,371.24,290
Niuland,68.96,18,1.68,13,0.00,0,0.00,229.62,91
Noklak,6.00,2,0.01,1,0.00,0,0.00,21.89,14
Peren,392.72,70,24.93,77,51.09,13,3.33,1533.68,429
Phek,218.59,53,17.46,44,21.38,18,6.77,315.75,146
Shamator,4.55,4,1.11,6,0.00,0,0.00,29.31,36
Tseminyu,26.00,7,1.05,5,0.79,1,2.22,35.53,15
Tuensang,59.15,35,39.88,38,20.05,13,10.91,183.82,129
Wokha,170.56,54,20.92,10,3.10,4,0.82,379.29,147
Zunheboto,108.35,43,6.59,7,1.20,2,0.54,223.95,123
