district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,129.84,38,64.40,11,143.53,43,24.60,583.53,228
Dimapur,447.74,83,527.11,49,1280.42,435,33.90,3777.49,1017
Kiphire,338.22,187,0.00,0,51.41,25,11.21,458.50,247
Kohima,176.54,65,194.58,33,491.64,189,26.06,1886.59,684
Longleng,72.68,47,0.00,0,19.94,14,10.56,188.74,110
Mokokchung,48.38,9,61.22,9,68.08,96,18.94,359.48,174
Mon,277.12,109,59.51,14,31.05,19,4.29,724.41,303
Niuland,143.23,62,0.00,0,53.62,21,26.86,199.65,85
Noklak,26.91,13,0.00,0,1.89,2,1.71,110.72,54
Peren,58.02,28,2.85,1,54.14,24,15.77,343.21,151
Phek,303.59,120,55.50,16,531.40,184,55.04,965.51,358
Shamator,42.62,16,3.80,1,3.30,1,6.70,49.26,21
Tseminyu,71.56,29,25.75,8,22.83,8,13.19,173.11,71
Tuensang,228.08,100,13.69,4,10.08,6,2.43,415.35,196
Wokha,177.42,55,92.58,19,132.23,15,17.17,770.12,192
Zunheboto,271.27,93,44.65,6,100.74,64,15.09,667.39,268
