district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,44.92,5,1950.33,1118,8.00,1,279.91,87,46.64,4,2329.80,1215,0.00,0
Dimapur,278.19,17,6980.53,1813,2090.94,29,2182.99,374,161.01,11,11693.66,2244,0.00,0
Kiphire,0.01,1,23.29,7,0.00,0,10.05,8,0.00,0,33.35,16,0.00,0
Kohima,31.23,4,4427.69,1653,0.00,0,1039.55,177,9.21,2,5507.68,1836,0.00,0
Longleng,0.00,0,113.20,3,0.00,0,54.35,9,0.00,0,167.55,12,0.00,0
Mokokchung,45.39,13,582.57,103,0.00,0,313.47,278,2.00,1,943.43,395,0.00,0
Mon,0.00,0,87.81,36,0.00,0,917.54,199,0.01,1,1005.37,237,0.01,1
Niuland,0.00,0,78.36,29,0.00,0,0.00,0,0.00,0,80.36,30,2.00,1
Noklak,0.00,0,0.00,0,0.00,0,43.47,3,0.00,0,44.54,4,1.07,1
Peren,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,1.00,1,0.00,0
Phek,0.00,0,73.65,43,0.00,0,15.18,7,0.00,0,88.83,50,0.00,0
Shamator,0.00,0,50.70,14,0.00,0,16.89,4,0.00,0,67.59,18,0.00,0
Tseminyu,0.01,1,0.00,0,0.00,0,33.80,11,0.00,0,33.81,12,0.00,0
Tuensang,12.11,3,0.00,0,0.00,0,65.97,10,6.00,1,84.08,14,0.00,0
Wokha,31.00,2,312.30,100,0.00,0,252.39,110,0.00,0,595.69,212,0.00,0
Zunheboto,4.43,2,135.23,42,0.00,0,396.93,59,1.01,1,537.60,104,0.00,0
