district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bishnupur,243,516.03,1169,1972.17,33,99.43,374,1690.54
Chandel,5,35.62,46,106.95,50,35.02,434,792.74
Churachandpur,31,158.73,165,568.14,485,2789.27,5820,22499.6
Imphal East,42,162.48,385,820.1,130,723.46,1263,6515.14
Imphal West,207,979.88,1606,4630.7,398,2899.24,11421,28265.41
Jiribam,6,32.2,41,162.07,6,45,119,370.48
Kakching,468,2608.33,3041,9711.34,25,178.38,438,1426.96
Kamjong,0,0,4,24.4,4,1.7,19,27.39
Kangpokpi,28,34.42,178,590.08,88,288.74,1536,3339.9
Noney,2,14.76,14,52.16,10,37.91,811,1004.56
Pherzawl,0,0,0,0,0,0,0,0
Senapati,6,37.87,82,172.78,168,842.65,1931,5170.06
Tamenglong,0,0,6,15.69,135,1178.44,1840,8758.23
Tengnoupal,6,12.07,84,249.03,44,195.91,1395,2527.82
Thoubal,33,131.74,332,940.56,26,94.13,364,1147.99
Ukhrul,10,84.3,34,151.23,340,1502.97,2888,9135.3
