District,Bank Name,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bishnupur,BOB,46,97.15,189,295.07
Chandel,BOI,0,0,1,0
Churachandpur,BOM,7,11.1,22,55.64
Imphal East,CAN,98,246.33,1692,1394.13
Imphal West,CBI,102,187.97,1017,808.54
Jiribam,IND,0,0,0,0
Kakching,IOB,5,10.02,31,58.78
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,0,0,11,10.22
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,2,3.56,30,40.32
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,0,0,0,0
Thoubal,BAND,132,303.49,866,916.67
Ukhrul,HDFC,16,22.6,18,18.23
