District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt Depositsheldinthe A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,88121,58076,57667,88305,145972,17130,2886.45,91171,47399,105312
Chandel,12831,0,5846,6982,12828,832,504.18,12169,4975,9126
Churachandpur,93260,3796,44407,52635,97042,7817,3547.20,75136,29843,62319
Imphal East,92270,47946,56225,83881,140106,16759,3209.52,91903,36061,98725
Imphal West,58644,203549,101586,151101,252687,28889,6577.08,191098,80930,192182
Jiribam,19664,0,8472,11192,19664,3592,621.63,16095,7749,17298
Kakching,27559,49868,32933,44429,77362,8842,1359.80,55742,22865,56386
Kamjong,2272,0,1140,1131,2271,55,111.42,2463,980,1180
Kangpokpi,29010,1212,14671,15546,30217,5596,969.13,20882,10644,16336
Noney,9618,0,5068,4523,9591,234,589.39,7958,4252,5813
Pherzawl,0,0,0,0,0,0,0.00,0,0,0
Senapati,38896,0,17941,20864,38805,1413,1693.23,42353,12413,23131
Tamenglong,4377,21558,13805,12130,25935,7446,490.70,27701,8862,15569
Tengnoupal,10650,6164,7544,9254,16798,1496,599.44,17535,5950,12411
Thoubal,77085,71330,63112,84673,147785,19409,2643.22,103079,36863,98074
Ukhrul,5653,66661,36538,35763,72301,15931,3179.15,63799,15677,35504
