District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bishnupur,4537,6826.4,147,330.7,0,0,72,110.28,4756,7267.38
Chandel,562,660.79,71,93.56,0,0,1,1.16,634,755.51
Churachandpur,2401,8660.96,308,1616.42,1,93.94,13,29.91,2723,10401.23
Imphal East,9299,21431.29,558,6433.81,19,609.59,392,376.93,10268,28851.62
Imphal West,19229,75613.03,1287,28644.79,41,5752.12,773,966.56,21330,110976.5
Jiribam,196,344.46,16,15.14,0,0,0,0,212,359.6
Kakching,3881,5789.99,296,642.09,2,83.27,1,1.53,4180,6516.88
Kamjong,91,120.78,4,8.37,0,0,0,0,95,129.15
Kangpokpi,1148,2684.98,47,109.44,0,0,0,0,1195,2794.42
Noney,389,561.31,0,0,0,0,0,0,389,561.31
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,1925,5977.57,166,451.22,0,0,111,150.19,2202,6578.98
Tamenglong,503,919.96,27,87.16,0,0,0,0,530,1007.12
Tengnoupal,1100,1417.74,172,101.91,1,0.06,2,2.26,1275,1521.97
Thoubal,6546,11155.42,169,973.81,4,299.79,98,158.2,6817,12587.22
Ukhrul,1090,2037.06,59,116.2,3,0.77,0,0,1152,2154.03
