District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bishnupur,0,0,28,80.06,400,3414.35,0,0,2,0.63,3231,1299.39,3661,4794.43
Chandel,0,0,9,23.66,61,714.03,0,0,0,0,55,59.16,125,796.85
Churachandpur,0,0,75,171.35,360,3927.04,0,0,0,0,192,143.69,627,4242.08
Imphal East,0,0,139,475.81,991,6411,1,18.68,2,0.31,8490,1940.58,9623,8846.38
Imphal West,0,0,653,2569.68,2821,22830.98,4,119.7,11,5.29,5901,1564.44,9390,27090.07
Jiribam,0,0,1,0.6,3,22.93,0,0,0,0,388,138.1,392,161.63
Kakching,0,0,28,78.78,129,1632.68,2,42.18,0,0,1702,573.03,1861,2326.67
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,16,54.35,94,1116.96,0,0,0,0,66,39.24,176,1210.55
Noney,0,0,2,5.86,0,0,0,0,0,0,0,0,2,5.86
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,64,200.44,162,2167.48,0,0,0,0,397,262.15,623,2630.07
Tamenglong,0,0,9,22.19,7,67.28,0,0,0,0,0,0,16,89.47
Tengnoupal,0,0,6,23.82,49,580.27,0,0,0,0,3,16.79,58,620.88
Thoubal,0,0,70,247.72,366,4354.71,0,0,5,1.29,6330,1390.18,6771,5993.9
Ukhrul,0,0,9,20.71,13,97.74,0,0,0,0,237,199.04,259,317.49
