district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disburse d under PMAY No,Current Year Disburse d under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,401,3287.63,415,7210.81,2,35.11,0,0,0,0,0,0
Chandel,61,672.13,91,1291.67,79,1718.87,0,0,0,0,0,0
Churachandpur,321,3395.85,1144,20077.26,607,14238.35,1,9.73,0,0,1,9.73
Imphal East,939,5974.22,896,17900.16,481,11007.9,90,971.68,0,0,90,971.68
Imphal West,2690,21159.64,4389,78533.94,153,3769.3,60,665.31,0,0,65,729.93
Jiribam,3,22.93,7,123.28,0,0,0,0,0,0,0,0
Kakching,130,1631.6,337,6551.59,5,135.55,0,0,0,0,1,2.88
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,76,906.67,272,3825.46,171,3859.32,0,0,0,0,0,0
Noney,2,61.47,0,0,2,61.46,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,162,2156.23,519,8517.46,366,9243.1,0,0,0,0,0,0
Tamenglong,7,67.28,11,254.08,0,0,0,0,0,0,0,0
Tengnoupal,49,575.22,80,1320.46,61,1311.26,0,0,0,0,0,0
Thoubal,382,4376.39,677,11619.33,100,2039.57,11,193.81,0,0,12,209.96
Ukhrul,13,94.86,11,404.11,0,0,0,0,0,0,0,0
