District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,,150,2716.26,0,14,0,943,113,0,0,198,1418
Chandel,,40,23.08,0,0,0,18,1,0,0,0,59
Churachandpur,,133,263.45,0,3,0,35,14,0,0,130,315
Imphal East,,84,4151.36,0,71,84,1565,98,0,0,648,2550
Imphal West,,213,12378.1,1,212,0,3490,126,0,1,1441,5484
Jiribam,,1,19.31,0,1,0,0,1,0,0,2,5
Kakching,,211,575.16,0,3,0,21,84,0,0,21,340
Kamjong,,0,57.87,0,0,0,0,0,0,0,59,59
Kangpokpi,,11,100.57,0,3,0,26,1,0,0,69,110
Noney,,1,22.09,0,0,0,1,0,0,0,13,15
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,33,209.02,0,1,8,9,1,0,0,81,133
Tamenglong,,31,46.43,0,1,0,5,0,0,0,10,47
Tengnoupal,,19,13.65,0,0,0,1,0,0,0,17,37
Thoubal,,256,6705.84,0,17,11,1987,39,0,0,441,2751
Ukhrul,,92,63.18,0,1,0,9,1,0,0,33,136
