District,Duringthe Quarter Savings Linked No.,Duringthe Quarter Savings Linked Amt,Duringthe Quarter Credit Linked No.,Duringthe Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bishnupur,423,221.24,44,52.03,771,234.77,65,85.13,393,366.91,106,57.08,15.56
Chandel,152,8.8,0,0,152,8.8,0,0,2,0.07,2,0.07,100
Churachandpur,1275,167.21,31,48.02,1372,194.58,100,127.05,221,335.74,98,31.24,9.3
Imphal East,137,54.2,213,523.07,272,68.07,210,509.99,265,341.93,34,16.11,4.71
Imphal West,530,267.72,88,166.97,3542,365.22,256,434.45,319,383.78,89,63.89,16.65
Jiribam,36,2.82,25,37.5,65,3.19,26,39,50,23.22,1,0.33,1.42
Kakching,365,173.94,33,60.4,524,186.68,111,114.85,149,149.14,14,5.63,3.77
Kamjong,139,25.59,0,0,139,25.59,0,0,5,7.41,0,0,0
Kangpokpi,200,11.36,1,0.05,259,11.7,7,2.66,37,29.82,25,21.68,72.7
Noney,125,64.03,6,8.31,180,66.86,21,32,38,35.04,11,5.24,14.95
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,475,38.27,6,41.07,515,39.04,23,134.29,103,273.41,1,0.48,0.18
Tamenglong,116,5.97,0,0,157,6.29,2,5.04,13,11.8,6,0.85,7.2
Tengnoupal,191,17.4,67,134,193,17.47,55,118.27,66,121.23,0,0,0
Thoubal,371,126.16,287,560.05,610,143.84,186,295.33,429,510.94,56,15.18,2.97
Ukhrul,129,48.18,0,0,310,59.93,5,11.76,125,168.51,102,150.17,89.12
