District,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bishnupur,7332,4434.75,3826,7407.37,4,8.51,896,636.25,12058,12486.88
Chandel,205,128.29,37,50.51,0,0,18,15.43,260,194.23
Churachandpur,2293,1594.82,1347,1780.08,0,0,247,345.8,3887,3720.7
Imphal East,3038,2911.25,6039,10136.3,15,15.58,1362,2092.13,10454,15155.26
Imphal West,14461,13695.34,9588,23324.1,75,497.46,1548,13987.76,25672,51504.66
Jiribam,70,22.35,39,48.07,0,0,24,28.01,133,98.43
Kakching,1506,1534.7,1843,3533.84,7,6.17,305,250.63,3661,5325.34
Kamjong,34,31.03,2,2.64,0,0,39,47,75,80.67
Kangpokpi,1140,1192.14,174,285.88,0,0,38,88.89,1352,1566.91
Noney,190,134.19,395,390.03,0,0,26,93.36,611,617.58
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,2215,1504.36,214,427.57,1,1.42,107,142.48,2537,2075.83
Tamenglong,156,99.77,120,106.17,0,0,25,33.32,301,239.26
Tengnoupal,210,114.78,518,738.04,0,0,23,40.99,751,893.81
Thoubal,3885,2726.28,4952,9038.81,8,9.45,565,916.61,9410,12691.15
Ukhrul,563,559.95,311,401.6,1,6.06,42,79.28,917,1046.89
