District,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bishnupur,80,244.41,46,91.79,729,1334.3,423,720.44,53.99
Chandel,62,162.16,42,18.98,289,484.07,192,334.1,69.02
Churachandpur,55,254.27,53,106.75,489,1124.91,311,395.06,35.12
Imphal East,88,442.98,122,406.07,812,2748.96,425,730.74,26.58
Imphal West,186,1076.59,210,860.25,1653,6178.58,890,2685.78,43.47
Jiribam,2,6.64,0,0,14,24.07,11,23.66,98.3
Kakching,36,106.58,28,44.34,252,455.48,124,216.92,47.62
Kamjong,1,2.85,1,1.95,42,79.13,14,20.7,26.16
Kangpokpi,11,76.72,10,31.74,272,704.89,99,329.36,46.73
Noney,8,27.92,2,13.5,38,83.28,19,41.76,50.14
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,65,343.28,61,77.04,669,1466.26,376,841.32,57.38
Tamenglong,5,14.09,11,26.58,186,308.16,105,139.77,45.36
Tengnoupal,12,38.32,3,9.8,97,214.36,54,134.58,62.78
Thoubal,159,454.99,139,297.93,640,1504.75,312,477.57,31.74
Ukhrul,29,76.85,34,84.2,363,541.12,195,267.79,49.49
