District,BHIM/UP I A/C,BHIM/UP I Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,4989871,130955.9,92086,5237.71,915,257.72,72119,221666.48,155733,8177.21,145746,6169.43
Chandel,1527345,25879.21,31,78.34,91,16.62,6594,937.38,24096,774.58,70003,3294.86
Churachandpur,10116197,239077.7,3468,128.77,1451,847.71,90484,497913.33,212996,10160.81,271582,10363.88
Imphal East,12677724,414661.5,93970,5061.72,6659,3022.26,305808,1101473.61,508615,33416.57,264244,12027.23
Imphal West,34522006,1068914,28453,2483.42,12519,7334.48,521495,2620187.61,1476504,73503.27,1044310,52241.65
Jiribam,1702124,37610.86,41,64.5,0,0,32523,3096.95,47640,2254.82,11284,468.21
Kakching,3717168,106107.6,61303,2762.41,1070,230.62,47745,497273.12,90043,4635.46,105529,4134.8
Kamjong,233146,4038.2,0,0,0,0,0,0,2467,55.96,6424,252.77
Kangpokpi,4827280,90005.69,93,4.49,2,0.02,16086,2982.13,53007,1624.7,143509,6123.59
Noney,558554,12705.36,14546,647.22,0,0,1580,167.65,16120,531.31,9701,423.23
Pherzawl,13,7.01,13,7.01,0,0,1,0,0,0,0,0
Senapati,6088656,148277.8,4,2,740,933.26,44707,280801.04,48553,3033.41,138079,6225.57
Tamenglong,948108,24870.83,3,0.27,0,0,9118,1265.51,58292,2786.13,2224,91.23
Tengnoupal,1518556,40248.67,4766,172.35,265,106.94,8579,272184.49,42019,1677.83,54795,2466.8
Thoubal,7846970,232666.6,92504,6088.74,1916,1190.01,129910,307513.39,197927,10086.13,179347,9350.85
Ukhrul,3370386,67034.64,5150,190.61,0,0,27130,4170.62,72367,3869.51,65477,2663.6
