District,Bank Name,Agriculture No.,Amt,Msme (NPS) No.,Exp Credit No.,Education (NPS) No.,Housing (NPS) No.,Personal Loans No.,Others NPS No.,Total Acp (NPS) No.
Bishnupur,,0,12621.82,0,0,0,98,943,2517,3558
Chandel,,0,6485.49,0,0,0,20,105,720,845
Churachandpur,,0,24653.89,0,0,1,171,882,2811,3865
Imphal East,,0,40375.69,0,0,8,247,2254,6483,8992
Imphal West,,5,160941.2,0,0,53,1005,10734,17935,29732
Jiribam,,0,2026.66,0,0,0,3,84,138,225
Kakching,,0,9871.04,0,0,0,89,1040,970,2099
Kamjong,,0,427.79,0,0,0,0,24,45,69
Kangpokpi,,1,7712.96,0,0,2,24,247,729,1003
Noney,,0,653.13,0,0,0,0,49,59,108
Pherzawl,,0,0,0,0,0,0,0,0,0
Senapati,,0,11971.9,0,0,0,81,351,1506,1938
Tamenglong,,0,4653.46,0,0,0,4,386,130,520
Tengnoupal,,0,3330.99,0,0,0,9,137,345,491
Thoubal,,2,18370.06,0,0,0,170,873,3837,4882
Ukhrul,,0,8957.99,0,0,0,4,470,669,1143
