District,Bank Name,NRLM O/S No.,Amt,NRLM Irregular No.,NRLM NPA No.,NULM O/S No.,NULM NPA No.,PMEGP O/S No.,PMEGP NPA No.,SHG O/S No.,SHG NPA No.,SUI O/S No.,SUI NPA No.
Bishnupur,,86,15.39,3,13,18,0,729,423,393,106,4,1
Chandel,,2,0,0,2,0,0,289,192,2,2,0,0
Churachandpur,,239,28.18,3,94,5,5,489,311,221,98,30,1
Imphal East,,888,54.9,10,54,16,1,812,425,265,34,50,4
Imphal West,,548,128.8,11,20,52,16,1653,890,319,89,92,15
Jiribam,,11,0,0,0,4,2,14,11,50,1,0,0
Kakching,,97,0,0,2,11,7,252,124,149,14,13,0
Kamjong,,5,0,0,0,0,0,42,14,5,0,0,0
Kangpokpi,,17,0,0,0,0,0,272,99,37,25,6,0
Noney,,21,0,0,10,0,0,38,19,38,11,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,35,0,3,1,4,1,669,376,103,1,30,0
Tamenglong,,4,0,0,4,3,2,186,105,13,6,0,0
Tengnoupal,,166,0,2,1,0,0,97,54,66,0,0,0
Thoubal,,613,0,21,78,76,2,640,312,429,56,16,0
Ukhrul,,4,0,0,1,21,15,363,195,125,102,0,0
